BAMid,Approach Vertical,Vertical Jump,3/4 Court sprint  ,4-Way agility,Reaction Shuttle,BAMScore,Wingspan,Reach,Height,Weight,Body Comp,Hand Width,approach_vertical_rank,vertical_jump_rank,reaction_shuttle_rank,bam_score_rank,wingspan_rank,reach_rank,height_rank,weight_rank,body_comp_rank,hand_width_rank,fourway_rank,courtsprint_rank
1037,33.5,28.5,3.376,11.4709999999999,3.66899999999999,2003.0,72.75,94.0,70.0,174.4,9.8,8.25,4,4,4,4,2,3,3,3,3,3,2,3
656,30.5,21.5,3.486,12.114,3.355,1865.0,82.0,104.5,79.5,188.4,21.9,8.75,3,2,3,3,4,4,4,4,5,3,3,4
477,37.0,31.0,3.23,12.036,3.562,2005.0,81.5,99.0,74.0,196.5,13.9,9.5,5,5,4,4,4,4,3,4,3,4,3,3
1200,29.0,23.0,3.37,12.509,3.173,1902.0,79.5,101.0,77.5,205.0,10.6,9.25,3,3,2,4,4,4,4,4,3,4,4,3
1501,31.0,26.0,3.389,12.724,3.316,1903.0,77.0,101.5,78.0,180.0,15.4,10.0,3,4,3,4,3,4,4,3,4,5,4,3
490,37.0,29.0,,,,2208.0,,,,,,,5,5,1,5,1,1,1,1,1,1,1,1
1508,32.0,27.5,3.21,11.276,3.04699999999999,2088.0,73.0,92.0,70.0,130.8,11.5,8.0,4,4,2,5,3,2,3,2,3,2,2,3
730,34.0,26.5,3.513,11.743,3.726,1888.0,76.0,97.5,75.5,181.9,7.6,8.25,4,4,4,3,3,3,4,4,2,3,3,4
413,,34.0,3.263,12.644,3.498,1932.0,76.0,95.5,73.0,157.3,16.3,8.25,1,5,3,4,3,3,3,3,4,3,4,3
1003,,14.0,3.407,11.947,3.448,1709.0,83.0,102.0,76.5,197.3,23.2,9.25,1,1,3,2,4,4,4,4,5,4,3,3
1283,,,3.396,11.387,3.384,1922.0,75.0,95.5,73.0,184.5,19.0,8.75,1,1,3,4,3,3,3,4,4,3,2,3
699,32.0,28.0,3.267,11.746,3.56,1966.0,80.5,101.5,75.5,162.0,14.5,9.75,4,4,4,4,4,4,4,3,3,5,3,3
319,29.5,25.5,3.505,12.183,3.841,1791.0,75.5,96.5,72.5,156.5,23.4,8.0,3,3,5,3,3,3,3,3,5,2,3,4
1016,35.0,28.0,3.512,12.407,3.61899999999999,1894.0,78.5,98.5,74.5,191.4,20.7,8.5,4,4,4,4,4,3,3,4,5,3,4,4
668,32.5,28.0,3.286,11.612,3.161,2042.0,76.0,99.5,75.5,170.0,12.5,9.25,4,4,2,5,3,4,4,3,3,4,3,3
1086,28.0,22.5,3.648,12.189,3.515,1798.0,82.0,106.0,81.5,246.0,29.2,8.0,2,2,4,3,4,5,5,5,5,2,3,4
516,32.5,25.0,3.556,12.306,3.849,1791.0,82.25,100.5,75.5,191.2,22.3,9.5,4,3,5,3,4,4,4,4,5,4,4,4
1419,36.0,28.0,3.56,11.511,3.306,1998.0,74.5,94.0,72.5,161.3,5.1,9.0,5,4,3,4,3,3,3,3,2,4,2,4
531,27.5,23.0,6.764,13.966,3.714,1690.0,77.0,97.5,72.75,174.6,11.5,9.25,2,3,4,2,3,3,3,3,3,4,5,5
607,27.0,22.0,3.431,12.645,3.718,1750.0,76.0,97.0,72.75,158.6,7.2,8.5,2,2,4,2,3,3,3,3,2,3,4,3
1270,30.0,22.5,3.286,12.167,3.685,1847.0,79.0,99.0,74.0,163.5,14.7,8.0,3,2,4,3,4,4,3,3,3,2,3,3
1162,27.0,20.5,4.007,13.597,3.568,1578.0,85.0,104.0,76.5,213.0,11.1,10.0,2,2,4,1,5,4,4,5,3,5,5,5
264,36.0,29.0,3.481,11.0629999999999,3.41899999999999,2031.0,86.0,105.5,80.0,213.6,21.6,9.75,5,5,3,5,5,5,4,5,5,5,2,4
609,,31.0,3.362,12.714,3.506,1450.0,82.0,103.0,78.5,209.2,20.9,9.25,1,5,4,1,4,4,4,4,5,4,4,3
1046,33.5,23.0,3.18,12.137,3.45,1953.0,78.5,99.0,76.0,171.0,16.0,10.0,4,3,3,4,4,4,4,3,4,5,3,3
1288,31.0,25.5,3.501,11.624,3.428,1927.0,82.5,103.5,77.5,209.8,24.9,8.5,3,3,3,4,4,4,4,5,5,3,3,4
271,26.5,21.5,3.667,12.102,3.502,1770.0,83.0,106.0,82.0,229.3,27.8,9.25,2,2,3,3,4,5,5,5,5,4,3,4
1332,30.5,27.0,3.383,13.418,3.666,1798.0,80.0,103.0,79.0,197.0,17.6,9.25,3,4,4,3,4,4,4,4,4,4,5,3
836,30.0,25.0,3.262,12.152,3.305,1948.0,74.5,95.0,72.0,176.8,18.1,9.0,3,3,3,4,3,3,3,3,4,4,3,3
